"No.","Time","Source","Destination","Protocol","Length","Info"
"179","8.981609","20.50.73.10","192.168.1.114","TCP","60","443  >  50118 [FIN, ACK] Seq=1 Ack=2 Win=2053 Len=0"
"180","8.981642","192.168.1.114","20.50.73.10","TCP","54","50118  >  443 [ACK] Seq=2 Ack=2 Win=1022 Len=0"
"181","8.983901","20.50.73.10","192.168.1.114","TCP","66","443  >  50258 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"182","8.983955","192.168.1.114","20.50.73.10","TCP","54","50258  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"183","8.984268","192.168.1.114","20.50.73.10","TLSv1.2","299","Client Hello"
"184","8.996853","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.52? Tell 192.168.1.1"
"185","9.034415","20.50.73.10","192.168.1.114","TCP","1506","443  >  50258 [ACK] Seq=1 Ack=246 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"186","9.034415","20.50.73.10","192.168.1.114","TCP","1506","443  >  50258 [ACK] Seq=1453 Ack=246 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"187","9.034415","20.50.73.10","192.168.1.114","TCP","1506","443  >  50258 [ACK] Seq=2905 Ack=246 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"188","9.034569","192.168.1.114","20.50.73.10","TCP","54","50258  >  443 [ACK] Seq=246 Ack=4357 Win=262144 Len=0"
"189","9.034646","20.50.73.10","192.168.1.114","TCP","1506","443  >  50258 [ACK] Seq=4357 Ack=246 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"190","9.034646","20.50.73.10","192.168.1.114","TLSv1.2","541","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"191","9.034726","192.168.1.114","20.50.73.10","TCP","54","50258  >  443 [ACK] Seq=246 Ack=6296 Win=262144 Len=0"
"192","9.040238","192.168.1.114","20.50.73.10","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"193","9.077931","192.168.1.52","255.255.255.255","UDP","214","49153  >  6667 Len=172"
"194","9.090540","20.50.73.10","192.168.1.114","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"195","9.090600","192.168.1.114","20.50.73.10","TCP","54","50258  >  443 [ACK] Seq=404 Ack=6347 Win=261888 Len=0"
"196","9.091437","192.168.1.114","20.50.73.10","TLSv1.2","616","Application Data"
"197","9.091556","192.168.1.114","20.50.73.10","TLSv1.2","2240","Application Data"
"198","9.098414","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"199","9.140543","20.50.73.10","192.168.1.114","TCP","60","443  >  50258 [ACK] Seq=6347 Ack=3152 Win=525568 Len=0"
"200","9.143207","20.50.73.10","192.168.1.114","TLSv1.2","527","Application Data"
"201","9.143244","192.168.1.114","20.50.73.10","TCP","54","50258  >  443 [ACK] Seq=3152 Ack=6820 Win=261376 Len=0"
"202","9.153483","192.168.1.114","20.50.73.10","TLSv1.2","540","Application Data"
"203","9.153622","192.168.1.114","20.50.73.10","TLSv1.2","1021","Application Data"
"204","9.201825","20.50.73.10","192.168.1.114","TCP","60","443  >  50258 [ACK] Seq=6820 Ack=4605 Win=525568 Len=0"
